,Country,2015[YR2015],2016[YR2016],2017[YR2017],2018[YR2018],2019[YR2019],Gini Index Five Year Average
1,Albania,32.9,33.7,33.2,,,33.26666667
3,Angola,,,,51.3,,51.3
4,Argentina,,42,41.2,41.4,,41.53333333
5,Armenia,32.4,32.5,33.6,34.4,,33.225
7,Austria,30.5,30.8,29.7,,,30.33333333
9,Bangladesh,,32.4,,,,32.4
10,Belarus,25.6,25.3,25.4,25.2,,25.375
11,Belgium,27.7,27.6,27.4,,,27.56666667
13,Benin,47.8,,,,,47.8
14,Bhutan,,,37.4,,,37.4
15,Bolivia,46.7,44.6,44,42.2,,44.375
17,Botswana,53.3,,,,,53.3
18,Brazil,51.9,53.3,53.3,53.9,,53.1
19,Bulgaria,38.6,40.6,40.4,,,39.86666667
22,Cabo Verde,42.4,,,,,42.4
25,Canada,,,33.3,,,33.3
28,Chile,44.4,,44.4,,,44.4
29,China,38.6,38.5,,,,38.55
30,Colombia,51.1,50.8,49.7,50.4,,50.5
34,Costa Rica,48.4,48.7,48.3,48,,48.35
35,Cote d'Ivoire,41.5,,,,,41.5
36,Croatia,31.1,30.9,30.4,,,30.8
37,Cyprus,34,32.9,31.4,,,32.76666667
38,Czech Republic,25.9,25.4,24.9,,,25.4
39,Denmark,28.2,28.2,28.7,,,28.36666667
40,Djibouti,,,41.6,,,41.6
41,Dominican Republic,45.2,45.7,42.2,43.7,,44.2
42,Ecuador,46,45,44.7,45.4,,45.275
43,"Egypt, Arab Rep.",31.8,,31.5,,,31.65
44,El Salvador,40.6,40,38,38.6,,39.3
47,Estonia,32.7,31.2,30.4,,,31.43333333
48,Eswatini,,54.6,,,,54.6
49,Ethiopia,35,,,,,35
51,Finland,27.1,27.1,27.4,,,27.2
52,France,32.7,31.9,31.6,,,32.06666667
53,Gabon,,,38,,,38
54,"Gambia, The",35.9,,,,,35.9
55,Georgia,36.5,36.6,37.9,36.4,,36.85
56,Germany,31.7,31.9,,,,31.8
57,Ghana,,43.5,,,,43.5
58,Greece,36,35,34.4,,,35.13333333
64,Honduras,49.6,51.1,50.5,52.1,,50.825
65,Hungary,30.4,30.3,30.6,,,30.43333333
66,Iceland,26.8,,,,,26.8
68,Indonesia,39.7,38.6,38.1,37.8,,38.55
69,"Iran, Islamic Rep.",39.5,40,40.8,,,40.1
71,Ireland,31.8,32.8,,,,32.3
72,Israel,,39,,,,39
73,Italy,35.4,35.2,35.9,,,35.5
77,Kazakhstan,26.8,27.2,27.5,,,27.16666667
78,Kenya,40.8,,,,,40.8
81,Kosovo,26.5,26.7,29,,,27.4
82,Kyrgyz Republic,29,26.8,27.3,27.7,,27.7
84,Latvia,34.2,34.3,35.6,,,34.7
86,Lesotho,,,44.9,,,44.9
87,Liberia,,35.3,,,,35.3
88,Lithuania,37.4,38.4,37.3,,,37.7
89,Luxembourg,33.8,33,34.9,,,33.9
91,Malawi,,44.7,,,,44.7
92,Malaysia,41,,,,,41
93,Maldives,,31.3,,,,31.3
95,Malta,29.4,29.1,29.2,,,29.23333333
97,Mauritius,,,36.8,,,36.8
98,Mexico,,46.3,,45.4,,45.85
100,Moldova,27,26.3,25.9,25.7,,26.225
101,Mongolia,,32.3,,32.7,,32.5
102,Montenegro,39,,,,,39
105,Myanmar,38.1,,30.7,,,34.4
106,Namibia,59.1,,,,,59.1
108,Netherlands,28.2,28.2,28.5,,,28.3
111,Nigeria,,,,35.1,,35.1
112,North Macedonia,35.6,34.5,34.2,,,34.76666667
113,Norway,27.5,28.5,27,,,27.66666667
114,Pakistan,33.5,,,,,33.5
116,Panama,50.8,50.4,49.9,49.2,,50.075
118,Paraguay,47.6,47.9,48.8,46.2,,47.625
119,Peru,43.4,43.6,43.3,42.8,,43.275
120,Philippines,44.4,,,,,44.4
121,Poland,31.8,31.2,29.7,,,30.9
122,Portugal,35.5,35.2,33.8,,,34.83333333
123,Romania,35.9,34.4,36,,,35.43333333
124,Russian Federation,37.7,36.8,37.2,37.5,,37.3
125,Rwanda,,43.7,,,,43.7
127,Sao Tome and Principe,,,56.3,,,56.3
129,Serbia,40.5,38.8,36.2,,,38.5
131,Sierra Leone,,,,35.7,,35.7
132,Slovak Republic,26.5,25.2,,,,25.85
133,Slovenia,25.4,24.8,24.2,,,24.8
137,Spain,36.2,35.8,34.7,,,35.56666667
138,Sri Lanka,,39.8,,,,39.8
139,St. Lucia,,51.2,,,,51.2
142,Sweden,29.2,29.6,28.8,,,29.2
143,Switzerland,32.3,33,32.7,,,32.66666667
145,Tajikistan,34,,,,,34
146,Tanzania,,,40.5,,,40.5
147,Thailand,36,36.9,36.5,36.4,,36.45
149,Togo,43.1,,,,,43.1
150,Tonga,37.6,,,,,37.6
152,Tunisia,32.8,,,,,32.8
153,Turkey,42.9,41.9,41.4,41.9,,42.025
156,Uganda,,42.8,,,,42.8
157,Ukraine,25.5,25,26,26.1,,25.65
158,United Kingdom,33.2,34.8,,,,34
159,United States,,41.1,,,,41.1
160,Uruguay,40.1,39.7,39.5,39.7,,39.75
164,Vietnam,,35.3,,35.7,,35.5
165,West Bank and Gaza,,33.7,,,,33.7
167,Zambia,57.1,,,,,57.1
168,Zimbabwe,,,44.3,,,44.3
185,,36.7975,36.35789474,36.10298507,39.95172414,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
