Country,Happy,Economy,Family,Health,Freedom,Trust,Generous
Afghanistan,3.512799982,0.357113444,0.409752665,0.254707356,0.117923904,0.058093566,0.267730187
Albania,4.712600011,0.938632551,0.75493105,0.787695949,0.371897727,0.043200843,0.167886589
Algeria,5.667600043,1.012962893,1.074205493,0.665056929,0.178437162,0.146099222,0.069219329
Angola,3.872250019,0.798379545,0.93836799,0.133902166,0.0274325,0.071570084,0.105269123
Argentina,6.459399995,1.111035093,1.330960229,0.760895417,0.481619841,0.064307978,0.092371412
Armenia,4.393199986,0.839133348,0.890872744,0.697850885,0.216028653,0.038766884,0.082393618
Australia,7.276199984,1.394884987,1.40900639,0.914529359,0.605043476,0.314572746,0.41607785
Austria,7.142000008,1.398341453,1.363962993,0.883679684,0.576929238,0.214260073,0.292400464
Azerbaijan,5.229200041,1.073644353,1.031750051,0.619653155,0.380545168,0.175755501,0.049131868
Bahrain,6.113799979,1.390482452,1.243464092,0.725250607,0.519083384,0.210752434,0.203151697
Bangladesh,4.58019996,0.523996595,0.638336348,0.593354207,0.478267332,0.132447572,0.17895907
Belarus,5.597999953,1.085019512,1.338153043,0.698766853,0.301538052,0.163556764,0.120003502
Belgium,6.921399959,1.375398152,1.35749254,0.882870374,0.538762144,0.237844626,0.208880668
Belize,5.95599995,0.863711772,0.9563226,0.459960589,0.550939791,0.097763691,0.21995188
Benin,3.901000013,0.376745082,0.340469969,0.275262042,0.419386555,0.071367803,0.186069692
Bhutan,5.124800031,0.823507278,1.201687303,0.539707858,0.498467536,0.165486078,0.434698909
Bolivia,5.813199991,0.767261313,1.09516381,0.53930605,0.551896585,0.068787545,0.185180145
Bosnia and Herzegovina,5.161800032,0.921693884,0.984433188,0.761331261,0.176792635,0.001654,0.270967499
Botswana,3.830000006,1.053580831,1.107410999,0.338407102,0.490607267,0.10460264,0.07904169
Brazil,6.657800046,1.033226642,1.323311201,0.680944471,0.443038749,0.120392552,0.134969979
Bulgaria,4.618600045,1.086535818,1.298787892,0.735953536,0.295458344,0.007784306,0.101063539
Burkina Faso,4.073800013,0.314659543,0.935740001,0.266812852,0.32399957,0.122995621,0.212772937
Burundi,3.078999994,0.062446514,0.470816717,0.211608158,0.101320151,0.106991589,0.185921037
Cambodia,4.205400044,0.548237019,0.876219668,0.511972681,0.637871165,0.06969919,0.336180594
Cameroon,4.695800034,0.519155073,0.852021644,0.201378423,0.43716775,0.050085326,0.207855691
Canada,7.350599997,1.388128883,1.387411798,0.90055753,0.610954182,0.305846303,0.389597944
Central African Republic,3.13425002,0.032125,0,0.050190671,0.322408011,0.053113769,0.243056622
Chad,4.003400022,0.382016597,0.803851174,0.094894943,0.177684405,0.058758376,0.19312877
Chile,6.58939999,1.173326922,1.202872991,0.844975941,0.396821056,0.088497596,0.272048484
China,5.218999953,1.003417158,1.033679482,0.7971211,0.509575542,0.056210855,0.049449368
Colombia,6.339999975,0.992910465,1.302610587,0.671677585,0.492099483,0.044971748,0.137456895
Comoros,3.961666667,0.262716667,0.717653333,0.38932,0.175096667,0.15379,0.210703333
Congo (Brazzaville),4.377399978,0.72274285,0.716586873,0.346717487,0.423013174,0.092801627,0.112300426
