,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,149.4,153.0,141,154,6.02494813255683,3.512799982070922,3.575,3.2030000000000003,3.7939999103546103,0.23263423521885118,0.35711344353485097,0.35,0.31982,0.401477217674255,0.034179978952835324,0.40975266527557375,0.517,0.11037000000000001,0.581543326377869,0.1989120825593901,0.2547073557691574,0.255,0.17344,0.361,0.080216688956456,0.117923904097557,0.106179520487785,0.0,0.23414000000000001,0.08772810892605466,0.0580935660119057,0.0611578300595284,0.025,0.09719,0.028683264361348156,0.2677301865158082,0.311870932579041,0.158,0.3651,0.08856919206018184,2017.0,2017.0,2015,2019,1.5811388300841898
Albania,106.4,109.0,95,112,6.61815684310972,4.712600010681152,4.655,4.586,4.959,0.14560665564521091,0.9386325506629944,0.9470000000000001,0.8786700000000001,0.996192753314972,0.044070213400524035,0.7549310495796204,0.8043399999999999,0.50163,0.848,0.14273578921568456,0.7876959493293763,0.79,0.73007,0.8740000000000001,0.060464451471908764,0.37189772696304324,0.381498634815216,0.31866,0.419,0.03701532204534489,0.043200843199968336,0.0398642159998417,0.027000000000000003,0.06412999999999999,0.015275048701565411,0.1678865888586044,0.1684,0.14272,0.20131294429302202,0.02350492686137858,2017.0,2017.0,2015,2019,1.5811388300841898
Algeria,66.2,68.0,38,88,21.004761364985796,5.667600043487548,5.605,5.211,6.355,0.46516967035926454,1.012962893333436,1.002,0.93929,1.09186446666718,0.06021353028633851,1.07420549308014,1.1462174654007,0.83309,1.16,0.13880077239687044,0.6650569291496277,0.6180399999999999,0.6175846457481379,0.785,0.07344813955130043,0.17843716158390038,0.21006,0.077,0.28579,0.09269927694816696,0.14609922206878662,0.14609611034393302,0.114,0.17382999999999998,0.023248084932438733,0.06921932939958572,0.07044,0.055,0.07822,0.008646272804989256,2017.0,2017.0,2015,2019,1.5811388300841898
Angola,140.0,140.5,137,142,2.1602468994692847,3.872250019073488,3.830500038146975,3.795,4.033,0.1122716025428059,0.7983795450544358,0.8025450000000001,0.73,0.8584281802177429,0.06409397591722805,0.9383679899120325,0.982405979824065,0.66366,1.125,0.21904763123396198,0.13390216640889646,0.10837000000000001,0.0498686656355858,0.26899999999999996,0.10559668576915764,0.027432500000000005,0.002945,0.0,0.10384000000000002,0.05101395062464124,0.07157008382618428,0.07047016765236855,0.061,0.08434,0.009632264521852141,0.10526912250220774,0.10931824500441548,0.079,0.12344000000000001,0.020917158314888988,2016.5,2016.5,2015,2018,1.2909944487358056
Argentina,31.2,29.0,24,47,9.148770409186143,6.4593999954223635,6.574,6.086,6.65,0.23101687904221463,1.1110350925216683,1.092,1.05351,1.18529546260834,0.055361644228567375,1.330960229034424,1.432,1.0661200000000002,1.4680000000000002,0.17172786070614748,0.7608954167060852,0.7440000000000001,0.695137083530426,0.8809999999999999,0.07713108011293375,0.4816198407802582,0.47100000000000003,0.42283999999999994,0.57,0.05603931892243232,0.06430797754287719,0.05973988771438599,0.05,0.08484,0.014389766379718047,0.092371412138939,0.109457060694695,0.062,0.11450999999999999,0.02601351299427621,2017.0,2017.0,2015,2019,1.5811388300841898
Armenia,122.8,121.0,116,129,5.215361924162119,4.39319998550415,4.36,4.321000000000001,4.559,0.09482457816053062,0.8391333475723265,0.85,0.7682100000000001,0.900596737861633,0.04983260204755395,0.890872744155884,0.99,0.6247699999999999,1.055,0.1831083840491531,0.6978508851966858,0.6659999999999999,0.637524425983429,0.815,0.07525988768346474,0.2160286534719468,0.19847,0.14037,0.28300000000000003,0.05649196412108935,0.03876688430082798,0.036160000000000005,0.0266744215041399,0.064,0.015047539421875646,0.08239361836528777,0.07855,0.077,0.095,0.0074817634986087175,2017.0,2017.0,2015,2019,1.5811388300841898
Australia,10.0,10.0,9,11,0.7071067811865476,7.276199983978271,7.28399991989136,7.228,7.313,0.0308901228158387,1.3948849870224,1.3719999999999999,1.33358,1.4844149351120002,0.06664215216579912,1.4090063904266361,1.5100419521331798,1.10476,1.5730000000000002,0.19933797078498117,0.9145293585319522,0.91,0.84388679265976,1.036,0.07756715532565756,0.6050434764595031,0.601607382297516,0.557,0.6512399999999999,0.04347239038706794,0.3145727460727692,0.302,0.29,0.35636999999999996,0.026289301897669513,0.4160778499965668,0.43562,0.332,0.47769924998283403,0.06641693391999967,2017.0,2017.0,2015,2019,1.5811388300841898
Austria,12.0,12.0,10,13,1.224744871391589,7.142000008392334,7.138999999999999,7.00600004196167,7.246,0.09112352685561959,1.398341452667236,1.376,1.33723,1.4870972633361799,0.06728186361192887,1.36396299269104,1.4599449634552,1.0838299999999998,1.504,0.17614291049082506,0.8836796838417055,0.8904200000000001,0.80565,1.016,0.08421432760551122,0.576929237915039,0.567766189575195,0.532,0.62433,0.04203947436219292,0.21426007308769224,0.22106036543846105,0.18675999999999998,0.226,0.01609191233251898,0.29240046434974676,0.316472321748734,0.242,0.33088,0.04543393438085809,2017.0,2017.0,2015,2019,1.5811388300841898
