Country,Happy,Economy,Family,Health,Freedom,Generous,Trust ,Year
Afghanistan,3.982854605,7.500538826,0.528597236,53.20000076,0.388927579,0.089090675,0.880638301,2015
Afghanistan,4.220168591,7.497038364,0.559071779,53,0.522566199,0.051364917,0.793245554,2016
Afghanistan,2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,2017
Afghanistan,2.694303274,7.494587898,0.507515848,52.59999847,0.373535544,-0.084887877,0.927605689,2018
Afghanistan,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,2019
Albania,4.606650829,9.302960396,0.639356136,67.80000305,0.703850687,-0.084411353,0.884793043,2015
Albania,4.511100769,9.337532043,0.638411462,68.09999847,0.72981894,-0.020687405,0.901070774,2016
Albania,4.639548302,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,2017
Albania,5.004402637,9.412399292,0.683591664,68.69999695,0.824212313,0.005384951,0.899129391,2018
Albania,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,2019
Algeria,5.340853691,9.541166306,0.748588264,65.5,,,,2016
Algeria,5.248912334,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,2017
Algeria,5.043086052,9.557951927,0.798651338,65.90000153,0.58338058,-0.172413006,0.758704126,2018
Algeria,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,2019
Argentina,6.69713068,9.858328819,0.926492274,68.19999695,0.881223679,-0.170244098,0.850906193,2015
Argentina,6.427221298,9.830087662,0.882819116,68.40000153,0.847702205,-0.188303813,0.850924492,2016
Argentina,6.039330006,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,2017
Argentina,5.792796612,9.809971809,0.899911582,68.80000305,0.845894694,-0.206936628,0.855255246,2018
Argentina,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,2019
Armenia,4.34831953,9.011393547,0.722551048,66,0.551026642,-0.189388379,0.901462197,2015
Armenia,4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.921421051,2016
Armenia,4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,2017
Armenia,5.062448502,9.119423866,0.814449012,66.90000153,0.807643652,-0.149108693,0.676826358,2018
Armenia,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,2019
Australia,7.309060574,10.6901989,0.95186156,72.69999695,0.921871006,0.323258132,0.356554389,2015
Australia,7.250080109,10.7030983,0.942334235,73,0.922315717,0.229792744,0.398545116,2016
Australia,7.25703764,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,2017
Australia,7.17699337,10.7210207,0.940137267,73.59999847,0.916028142,0.137795404,0.404647499,2018
Australia,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,2019
Austria,7.07644701,10.69885254,0.928110301,72.09999847,0.900305152,0.09687189,0.55747962,2015
