,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Country,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Denmark,2.2,2,1,3,0.836660027,7.55,7.53,7.52,7.6,0.03,1.396728603,1.383,1.32548,1.482383013,0.064657268,1.447688319,1.551121593,1.16374,1.59,0.18362229,0.865249105,0.868,0.792565525,0.996,0.082770427,0.625959344,0.626006722,0.57941,0.683,0.042196695,0.429374014,0.41,0.400770068,0.48357,0.03470337,0.318876098,0.34139,0.252,0.36171,0.048362313,2017,2017,2015,2019,1.58113883
Iceland,3.2,3,2,4,0.836660027,7.51,7.5,7.49,7.56,0.03,1.386522604,1.38,1.30232,1.48063302,0.06981157,1.492812801,1.610574007,1.18326,1.644,0.198723132,0.917744424,0.914,0.833552122,1.026,0.074613993,0.618034527,0.627162635,0.56624,0.677,0.042098214,0.140145312,0.14145,0.118,0.153526559,0.013856652,0.419124044,0.4363,0.353,0.47678,0.062079663,2017,2017,2015,2019,1.58113883
Norway,2.8,3,1,4,1.303840481,7.54,7.54,7.5,7.59,0.04,1.519380637,1.488,1.456,1.616463184,0.073218136,1.431074712,1.53352356,1.1269,1.582,0.199122993,0.873333301,0.861,0.79579,1.028,0.09500752,0.638048517,0.635422587,0.59609,0.686,0.039682718,0.343950767,0.341,0.315963835,0.36503,0.018990873,0.328990447,0.34699,0.271,0.37895,0.047753141,2017,2017,2015,2019,1.58113883
Finland,3.6,5,1,6,2.408318916,7.54,7.47,7.41,7.77,0.16,1.356960385,1.34,1.29025,1.443571925,0.065845071,1.434429345,1.540246725,1.13464,1.592,0.201663459,0.873835534,0.874,0.80915767,0.986,0.072382755,0.621536171,0.617950857,0.57104,0.681,0.042299343,0.398474309,0.393,0.382611543,0.41372,0.01301691,0.217782555,0.23351,0.153,0.25492,0.041351278,2017,2017,2015,2019,1.58113883
Switzerland,3.6,4,1,6,2.073644135,7.51,7.49,7.48,7.59,0.04,1.472163911,1.452,1.39651,1.564979553,0.071605188,1.417332349,1.516911745,1.14524,1.549,0.171533672,0.928318258,0.927,0.858131289,1.052,0.078516871,0.620642115,0.620070577,0.572,0.66557,0.042320188,0.379763457,0.367007285,0.343,0.41978,0.034186621,0.277431856,0.28083,0.256,0.29678,0.017504055,2017,2017,2015,2019,1.58113883
Netherlands,6.2,6,5,7,0.836660027,7.4,7.38,7.34,7.49,0.06,1.411012927,1.396,1.32944,1.503944635,0.072279458,1.349645845,1.428939223,1.02912,1.522,0.201679806,0.878569225,0.878,0.810696125,0.999,0.07698148,0.589650898,0.585384488,0.55211,0.638,0.037124531,0.298614365,0.298,0.282661825,0.31814,0.012743674,0.415149966,0.47048983,0.322,0.4761,0.080132896,2017,2017,2015,2019,1.58113883
Canada,6.8,7,5,9,1.483239697,7.35,7.33,7.28,7.43,0.06,1.388128883,1.365,1.32629,1.479204416,0.068445068,1.387411798,1.481348991,1.0961,1.532,0.182084298,0.90055753,0.896,0.8276,1.039,0.084987651,0.610954182,0.611100912,0.5737,0.653,0.033041529,0.305846303,0.308,0.287371516,0.32957,0.017208946,0.389597944,0.435539722,0.285,0.45811,0.080469848,2017,2017,2015,2019,1.58113883
New Zealand,8.2,8,8,9,0.447213595,7.31,7.31,7.29,7.33,0.02,1.31750921,1.303,1.25018,1.405706048,0.064875986,1.439729025,1.548195124,1.17278,1.601,0.185203709,0.891617941,0.876,0.816759706,1.026,0.083465907,0.617782426,0.61406213,0.58147,0.669,0.037070256,0.40001534,0.389,0.38,0.42922,0.022542152,0.432805025,0.47501,0.33,0.500005126,0.079387589,2017,2017,2015,2019,1.58113883
Sweden,8.6,9,7,10,1.140175425,7.32,7.31,7.28,7.36,0.03,1.403981454,1.387,1.33171,1.494387269,0.067770748,1.368574434,1.478162169,1.08764,1.501,0.17945454,0.898991032,0.91087,0.830875158,1.009,0.073609399,0.61758082,0.612924099,0.574,0.6598,0.040841764,0.397501746,0.384398729,0.373,0.43844,0.026377053,0.33651185,0.36262,0.267,0.385399252,0.056292922,2017,2017,2015,2019,1.58113883
